time_id;nome_time;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24
2529723;Monster Fut F.C;Serna|0,50;Kaio Jorge|4,90;Hulk|14,70;Lucas Ronier|11,40;Luciano|9,80;Flaco López|12,70;Lucas Ronier|2,00;Andrés Gómez|8,30;Flaco López|3,50;Carlos Vinícius|2,80;Viveros|11,40;Flaco López|3,80;Canobbio|10,40;Pedro|11,80;Flaco López|4,40;Neymar|3,90;Kaio Jorge|9,70;Paulinho|8,00;Paulinho|0,00;Viveros|19,20;Yuri Alberto|3,50;Pedro|-0,30;Carbonero|12,00;Hulk|14,80
18988681;MOUSE FUTEBOL E CATCHUP;Alan Patrick|3,00;Kaio Jorge|4,90;Vitor Roque|14,00;Matheus Pereira|11,10;Lucas Ramon|11,20;Canobbio|10,40;Pedro|0,00;Lucho Acosta|3,50;Flaco López|3,50;Pedro|9,00;Viveros|11,40;Andrés Gómez|16,90;Pedro|15,60;Flaco López|7,80;Neymar|10,50;Neymar|3,90;Kaio Jorge|9,70;Viveros|10,90;Pedro|18,80;Neymar|22,80;Yuri Alberto|3,50;Arias|7,70;Viveros|7,40;Neymar|0,00
7939743;Oozma Kappa Ror FC;Lucas Ronier|5,00;Kaio Jorge|4,90;Hulk|14,70;Eduardo Sasha|2,10;Canobbio|14,20;Flaco López|12,70;Pedro|0,00;Andrés Gómez|8,30;Neymar|7,80;Carlos Vinícius|2,80;Viveros|11,40;Pedro|7,90;Viveros|21,10;Pedro|11,80;Flaco López|4,40;Neymar|3,90;Pedro|2,10;Pedro|20,40;Pedro|18,80;Gabriel|2,00;Yuri Alberto|3,50;Kaio Jorge|8,50;Viveros|7,40;Neymar|0,00
50263746;Os Cozidos Do Jabuca Tradicao Cartoleiro;Alef Manga|0,90;Kaio Jorge|4,90;Yuri Alberto|3,00;Yuri Alberto|0,00;Memphis Depay|-0,10;Arias|6,40;Yuri Alberto|1,20;Yuri Alberto|10,90;Kaio Jorge|8,80;Carlos Vinícius|2,80;Kayke|4,40;Arias|1,20;Carlos Vinícius|1,40;Danilo|5,30;Danilo|2,00;Neymar|3,90;Matheus Pereira|8,10;Pedro|20,40;Yuri Alberto|19,90;Pedro|1,70;Pedro|1,90;Pedro Raul|10,50;Viveros|7,40;Viveros|0,00
22247745;ParmeirinhaFCBr;Renato Kayzer|10,40;Flaco López|4,90;Yuri Alberto|3,00;Flaco López|1,60;Luciano|9,80;Canobbio|10,40;Arrascaeta|8,00;Arias|9,00;Kaio Jorge|8,80;Flaco López|6,40;Lucas Ronier|2,80;Isidro Pitta|18,00;Arias|5,50;Arthur Cabral|2,40;Pedro|0,40;Viveros|9,10;Flaco López|11,30;Samuel Lino|26,00;Samuel Lino|11,60;Pedro|1,70;Flaco López|2,20;Flaco López|0,50;Viveros|7,40;Neymar|0,00
29031465;PegaessepasseF.C.;John Kennedy|1,60;Kaio Jorge|4,90;Hulk|14,70;Kaio Jorge|1,40;Erick Pulga|1,50;Canobbio|10,40;Neymar|9,40;Andrés Gómez|8,30;Neymar|7,80;Carlos Vinícius|2,80;Viveros|11,40;Pedro|7,90;Viveros|21,10;Pedro|11,80;Andrés Gómez|2,90;Neymar|3,90;Pedro|2,10;Viveros|10,90;Yuri Alberto|19,90;Viveros|19,20;Edson Carioca|3,30;Pedro|-0,30;Carbonero|12,00;Flaco López|3,00
2864056;PegCa;Canobbio|5,70;Kaio Jorge|4,90;Hulk|14,70;Kaio Jorge|1,40;Calleri|12,10;Carlos Vinícius|0,80;Pedro|0,00;Andrés Gómez|8,30;Kaio Jorge|8,80;Pedro|9,00;Viveros|11,40;Flaco López|3,80;Canobbio|10,40;Pedro|11,80;Flaco López|4,40;Flaco López|5,90;Kaio Jorge|9,70;Pedro|20,40;Pedro|18,80;Rollheiser|1,00;Pedro|1,90;Kaio Jorge|8,50;Samuel Lino|11,90;Neymar|0,00
28045697;Pelé é gol de videogame ;Nonato|6,40;Nonato|4,20;Nonato|0,00;Nonato|0,00;Nonato|0,00;Nonato|0,00;Nonato|0,00;Nonato|0,00;Nonato|0,00;Nonato|0,00;Nonato|0,00;Nonato|0,00;Nonato|0,00;Nonato|0,00;Nonato|5,50;Nonato|0,70;Nonato|-0,10;Nonato|0,00;Nonato|0,00;Nonato|1,20;Nonato|2,70;Nonato|2,80;Nonato|0,00;Nonato|0,20
336993;PUROMALTISS F.S;Borré|2,40;Kaio Jorge|4,90;Hulk|14,70;Alef Manga|10,10;Hulk|8,20;Pedro|11,80;Flaco López|5,60;Alan Patrick|12,50;Neymar|7,80;Carlos Vinícius|2,80;Viveros|11,40;Pedro|7,90;Viveros|21,10;Matheus Martins|6,50;John Kennedy|18,00;Neymar|3,90;Kaio Jorge|9,70;Viveros|10,90;Pedro|18,80;Gabriel|2,00;Kaio César|2,80;Breno Lopes|3,70;Viveros|7,40;Canobbio|3,90
25311310;Real Memphis SCCP;Yuri Alberto|0,70;Flaco López|4,90;Hulk|14,70;Flaco López|1,60;Borré|1,40;Memphis Depay|9,30;Neymar|9,40;Yuri Alberto|10,90;Flaco López|3,50;Hulk|1,20;Hulk|1,00;Kaio Jorge|2,10;Kaio Jorge|-0,30;Kaio Jorge|13,00;Yuri Alberto|6,50;Carbonero|24,90;Carbonero|0,00;Carbonero|1,90;Carbonero|10,80;Viveros|19,20;Hulk|3,20;Gabriel|3,60;Vitinho|1,20;Vitinho|1,30
